Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,pasteuria.inf,metsch.inf,scarlet.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,micG.inf,pasteuria.prev,metsch.prev,scarlet.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,micG.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
dubia,Appleton,2014,2014199,199,18-Jul-14,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,280.5,87222,50762.6,27765.2,8413.7,0,280.5,0,0,0
dubia,Appleton,2014,2014212,212,31-Jul-14,17,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1963.2,94457.7,24063.2,58895.8,9535.5,0,1963.2,0,0,0
dubia,Appleton,2014,2014225,225,13-Aug-14,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1262.1,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
dubia,Appleton,2014,2014240,240,28-Aug-14,45,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3085,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
dubia,Appleton,2014,2014255,255,12-Sep-14,35,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,841.4,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
dubia,Appleton,2014,2014269,269,26-Sep-14,185,0,0,0,1,0,0,0,NA,0,0,0,0.00540540540540541,0,0,0,NA,7291.9,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
dubia,Appleton,2014,2014280,280,7-Oct-14,54,0,0,1,0,0,0,0,NA,0,0,0.0185185185185185,0,0,0,0,NA,2692.4,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
dubia,Appleton,2014,2014297,297,24-Oct-14,83,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2734.4,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
dubia,Appleton,2014,2014308,308,4-Nov-14,143,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2524.1,45433.9,9255.1,33093.8,0,560.9,2524.1,0,0,0
parvula,Appleton,2014,2014225,225,13-Aug-14,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
pulicaria,Appleton,2014,2014199,199,18-Jul-14,233,0,0,0,2,0,0,0,NA,0,0,0,0.00858369098712446,0,0,0,NA,27765.2,87222,50762.6,27765.2,8413.7,0,280.5,0,0,0
pulicaria,Appleton,2014,2014212,212,31-Jul-14,226,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,58895.8,94457.7,24063.2,58895.8,9535.5,0,1963.2,0,0,0
pulicaria,Appleton,2014,2014225,225,13-Aug-14,247,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,45433.9,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
pulicaria,Appleton,2014,2014240,240,28-Aug-14,403,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,67870.4,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
pulicaria,Appleton,2014,2014255,255,12-Sep-14,200,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,18930.8,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
pulicaria,Appleton,2014,2014269,269,26-Sep-14,215,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0.00465116279069767,NA,14303.3,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
pulicaria,Appleton,2014,2014280,280,7-Oct-14,347,0,0,0,1,0,0,2,NA,0,0,0,0.00288184438040346,0,0,0.00576368876080692,NA,8413.7,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
pulicaria,Appleton,2014,2014297,297,24-Oct-14,91,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2944.8,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
retrocurva,Appleton,2014,2014199,199,18-Jul-14,258,0,0,0,4,0,0,0,NA,0,0,0,0.0155038759689922,0,0,0,NA,8413.7,87222,50762.6,27765.2,8413.7,0,280.5,0,0,0
retrocurva,Appleton,2014,2014212,212,31-Jul-14,164,0,0,5,0,0,0,0,NA,0,0,0.0304878048780488,0,0,0,0,NA,9535.5,94457.7,24063.2,58895.8,9535.5,0,1963.2,0,0,0
retrocurva,Appleton,2014,2014225,225,13-Aug-14,61,0,0,1,0,0,0,0,NA,0,0,0.0163934426229508,0,0,0,0,NA,11358.5,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
retrocurva,Appleton,2014,2014240,240,28-Aug-14,143,2,0,1,1,0,0,0,NA,0.013986013986014,0,0.00699300699300699,0.00699300699300699,0,0,0,NA,12199.9,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
retrocurva,Appleton,2014,2014255,255,12-Sep-14,97,5,0,0,0,0,0,0,NA,0.0515463917525773,0,0,0,0,0,0,NA,2804.6,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
retrocurva,Appleton,2014,2014269,269,26-Sep-14,217,1,0,0,1,0,0,0,NA,0.00460829493087558,0,0,0.00460829493087558,0,0,0,NA,9255.1,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
retrocurva,Appleton,2014,2014280,280,7-Oct-14,192,2,0,0,0,0,0,0,NA,0.0104166666666667,0,0,0,0,0,0,NA,5384.8,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
retrocurva,Appleton,2014,2014297,297,24-Oct-14,226,1,0,0,0,0,0,0,NA,0.00442477876106195,0,0,0,0,0,0,NA,12620.5,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
retrocurva,Appleton,2014,2014308,308,4-Nov-14,262,0,0,0,1,0,0,0,NA,0,0,0,0.00381679389312977,0,0,0,NA,0,45433.9,9255.1,33093.8,0,560.9,2524.1,0,0,0
ambigua,Bishop,2014,2014199,199,18-Jul-14,10,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,286.7,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
ambigua,Bishop,2014,2014212,212,31-Jul-14,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,860,142761.2,9460.1,860,120831,0,10750.1,0,860,0
ambigua,Bishop,2014,2014225,225,13-Aug-14,12,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
ambigua,Bishop,2014,2014240,240,28-Aug-14,7,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,344,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
ambigua,Bishop,2014,2014255,255,12-Sep-14,15,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,573.3,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
ambigua,Bishop,2014,2014269,269,26-Sep-14,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
ambigua,Bishop,2014,2014280,280,7-Oct-14,29,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,860,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
ambigua,Bishop,2014,2014297,297,24-Oct-14,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,860,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
ambigua,Bishop,2014,2014308,308,4-Nov-14,17,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
ceriodaphnia,Bishop,2014,2014225,225,13-Aug-14,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
ceriodaphnia,Bishop,2014,2014240,240,28-Aug-14,65,1,0,0,0,0,0,0,NA,0.0153846153846154,0,0,0,0,0,0,NA,3268,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
ceriodaphnia,Bishop,2014,2014255,255,12-Sep-14,127,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,8600.1,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
ceriodaphnia,Bishop,2014,2014269,269,26-Sep-14,65,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2580,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
ceriodaphnia,Bishop,2014,2014280,280,7-Oct-14,559,1,0,0,1,0,0,0,NA,0.00178890876565295,0,0,0.00178890876565295,0,0,0,NA,20640.2,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
ceriodaphnia,Bishop,2014,2014297,297,24-Oct-14,261,1,0,0,2,0,0,0,NA,0.00383141762452107,0,0,0.00766283524904215,0,0,0,NA,20425.2,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
ceriodaphnia,Bishop,2014,2014308,308,4-Nov-14,306,1,0,1,0,0,0,0,NA,0.00326797385620915,0,0.00326797385620915,0,0,0,0,NA,13186.8,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
dentifera,Bishop,2014,2014199,199,18-Jul-14,381,2,1,4,0,0,0,0,NA,0.005249343832021,0.0026246719160105,0.010498687664042,0,0,0,0,NA,16340.1,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
dentifera,Bishop,2014,2014212,212,31-Jul-14,138,2,0,1,0,0,0,0,NA,0.0144927536231884,0,0.0072463768115942,0,0,0,0,NA,9460.1,142761.2,9460.1,860,120831,0,10750.1,0,860,0
dentifera,Bishop,2014,2014225,225,13-Aug-14,146,0,2,0,0,0,0,0,NA,0,0.0136986301369863,0,0,0,0,0,NA,7310.1,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
dentifera,Bishop,2014,2014240,240,28-Aug-14,200,2,0,0,0,0,0,0,NA,0.01,0,0,0,0,0,0,NA,19780.2,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
dentifera,Bishop,2014,2014255,255,12-Sep-14,201,3,2,0,0,0,0,0,NA,0.0149253731343284,0.00995024875621891,0,0,0,0,0,NA,22933.5,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
dentifera,Bishop,2014,2014269,269,26-Sep-14,206,1,0,0,0,0,0,0,NA,0.00485436893203883,0,0,0,0,0,0,NA,22790.2,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
dentifera,Bishop,2014,2014280,280,7-Oct-14,306,1,0,0,2,0,0,0,NA,0.00326797385620915,0,0,0.0065359477124183,0,0,0,NA,73100.6,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
dentifera,Bishop,2014,2014297,297,24-Oct-14,352,1,0,0,3,0,0,0,NA,0.00284090909090909,0,0,0.00852272727272727,0,0,0,NA,48160.4,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
dentifera,Bishop,2014,2014308,308,4-Nov-14,227,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,39560.3,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
dubia,Bishop,2014,2014199,199,18-Jul-14,171,0,0,1,1,0,0,0,NA,0,0,0.00584795321637427,0.00584795321637427,0,0,0,NA,8600.1,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
dubia,Bishop,2014,2014212,212,31-Jul-14,51,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,10750.1,142761.2,9460.1,860,120831,0,10750.1,0,860,0
dubia,Bishop,2014,2014225,225,13-Aug-14,154,0,0,2,0,0,0,0,NA,0,0,0.012987012987013,0,0,0,0,NA,13330.1,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
dubia,Bishop,2014,2014240,240,28-Aug-14,227,0,0,2,0,0,0,0,NA,0,0,0.00881057268722467,0,0,0,0,NA,13330.1,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
dubia,Bishop,2014,2014255,255,12-Sep-14,197,1,0,2,5,0,0,0,NA,0.0050761421319797,0,0.0101522842639594,0.0253807106598985,0,0,0,NA,9030.1,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
dubia,Bishop,2014,2014269,269,26-Sep-14,35,0,0,1,1,0,0,0,NA,0,0,0.0285714285714286,0.0285714285714286,0,0,0,NA,1720,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
dubia,Bishop,2014,2014280,280,7-Oct-14,111,0,0,0,1,0,0,0,NA,0,0,0,0.00900900900900901,0,0,0,NA,10893.4,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
dubia,Bishop,2014,2014297,297,24-Oct-14,45,0,0,0,1,0,0,0,NA,0,0,0,0.0222222222222222,0,0,0,NA,4300,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
dubia,Bishop,2014,2014308,308,4-Nov-14,93,0,0,0,7,0,0,0,NA,0,0,0,0.0752688172043011,0,0,0,NA,7740.1,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
parvula,Bishop,2014,2014269,269,26-Sep-14,2,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
pulicaria,Bishop,2014,2014199,199,18-Jul-14,77,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2293.4,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
pulicaria,Bishop,2014,2014212,212,31-Jul-14,25,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,860,142761.2,9460.1,860,120831,0,10750.1,0,860,0
pulicaria,Bishop,2014,2014225,225,13-Aug-14,6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,430,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
pulicaria,Bishop,2014,2014240,240,28-Aug-14,4,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,516,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
pulicaria,Bishop,2014,2014255,255,12-Sep-14,5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,573.3,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
pulicaria,Bishop,2014,2014269,269,26-Sep-14,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
pulicaria,Bishop,2014,2014280,280,7-Oct-14,10,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,286.7,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
pulicaria,Bishop,2014,2014297,297,24-Oct-14,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
pulicaria,Bishop,2014,2014308,308,4-Nov-14,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
retrocurva,Bishop,2014,2014199,199,18-Jul-14,613,0,0,2,1,0,0,0,NA,0,0,0.0032626427406199,0.00163132137030995,0,0,0,NA,125991,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
retrocurva,Bishop,2014,2014212,212,31-Jul-14,381,0,0,0,1,0,0,0,NA,0,0,0,0.0026246719160105,0,0,0,NA,120831,142761.2,9460.1,860,120831,0,10750.1,0,860,0
retrocurva,Bishop,2014,2014225,225,13-Aug-14,212,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,67940.6,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
retrocurva,Bishop,2014,2014240,240,28-Aug-14,230,2,0,1,0,0,1,0,NA,0.00869565217391304,0,0.00434782608695652,0,0,0.00434782608695652,0,NA,57333.8,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
retrocurva,Bishop,2014,2014255,255,12-Sep-14,228,9,0,0,2,0,5,0,NA,0.0394736842105263,0,0,0.0087719298245614,0,0.0219298245614035,0,NA,36980.3,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
retrocurva,Bishop,2014,2014269,269,26-Sep-14,70,2,0,0,2,0,0,0,NA,0.0285714285714286,0,0,0.0285714285714286,0,0,0,NA,4873.4,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
retrocurva,Bishop,2014,2014280,280,7-Oct-14,213,2,0,0,4,0,0,0,NA,0.00938967136150235,0,0,0.0187793427230047,0,0,0,NA,45150.4,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
retrocurva,Bishop,2014,2014297,297,24-Oct-14,318,3,0,2,12,0,0,0,NA,0.00943396226415094,0,0.00628930817610063,0.0377358490566038,0,0,0,NA,52890.4,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
retrocurva,Bishop,2014,2014308,308,4-Nov-14,448,7,0,0,10,0,0,0,NA,0.015625,0,0,0.0223214285714286,0,0,0,NA,92020.7,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
ceriodaphnia,Bruin,2014,2014287,287,14-Oct-14,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,45994.9,6731,0,31411.1,0,7852.8,0,0,0
dentifera,Bruin,2014,2014204,204,23-Jul-14,209,0,0,2,0,2,0,0,NA,0,0,0.00956937799043062,0,0.00956937799043062,0,0,NA,7151.6,52725.8,7151.6,33234.1,4347.1,0,7993,0,0,0
dentifera,Bruin,2014,2014216,216,4-Aug-14,224,0,0,1,0,0,0,0,NA,0,0,0.00446428571428571,0,0,0,0,NA,21034.2,86380.5,21034.2,21595.1,24960.6,0,18790.6,0,0,0
dentifera,Bruin,2014,2014230,230,18-Aug-14,132,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,7993,40175.5,7993,6731,7782.7,0,17668.8,0,0,0
dentifera,Bruin,2014,2014245,245,2-Sep-14,212,0,0,1,0,0,0,0,NA,0,0,0.00471698113207547,0,0,0,0,NA,20823.9,54899.4,20823.9,6941.3,4837.9,0,22296.3,0,0,0
dentifera,Bruin,2014,2014258,258,15-Sep-14,173,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,9535.5,46275.3,9535.5,11218.3,10937.8,560.9,14022.8,0,0,0
dentifera,Bruin,2014,2014272,272,29-Sep-14,221,0,0,0,2,0,0,0,NA,0,0,0,0.00904977375565611,0,0,0,NA,12830.9,49220.1,12830.9,1051.7,23558.3,0,11779.2,0,0,0
dentifera,Bruin,2014,2014287,287,14-Oct-14,169,0,0,1,0,0,0,0,NA,0,0,0.00591715976331361,0,0,0,0,NA,6731,45994.9,6731,0,31411.1,0,7852.8,0,0,0
dentifera,Bruin,2014,2014300,300,27-Oct-14,62,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,1682.7,17107.8,1682.7,0,14303.3,0,1121.8,0,0,0
dentifera,Bruin,2014,2014315,315,11-Nov-14,9,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,21454.9,0,0,21034.2,0,420.7,0,0,0
dubia,Bruin,2014,2014204,204,23-Jul-14,197,0,0,0,1,0,0,0,NA,0,0,0,0.0050761421319797,0,0,0,NA,7993,52725.8,7151.6,33234.1,4347.1,0,7993,0,0,0
dubia,Bruin,2014,2014216,216,4-Aug-14,205,0,0,1,0,0,0,0,NA,0,0,0.0048780487804878,0,0,0,0,NA,18790.6,86380.5,21034.2,21595.1,24960.6,0,18790.6,0,0,0
dubia,Bruin,2014,2014230,230,18-Aug-14,154,2,0,0,0,0,0,0,NA,0.012987012987013,0,0,0,0,0,0,NA,17668.8,40175.5,7993,6731,7782.7,0,17668.8,0,0,0
dubia,Bruin,2014,2014245,245,2-Sep-14,230,1,0,0,0,0,0,0,NA,0.00434782608695652,0,0,0,0,0,0,NA,22296.3,54899.4,20823.9,6941.3,4837.9,0,22296.3,0,0,0
dubia,Bruin,2014,2014258,258,15-Sep-14,169,0,0,1,0,0,0,0,NA,0,0,0.00591715976331361,0,0,0,0,NA,14022.8,46275.3,9535.5,11218.3,10937.8,560.9,14022.8,0,0,0
dubia,Bruin,2014,2014272,272,29-Sep-14,173,0,0,0,3,0,0,0,NA,0,0,0,0.0173410404624277,0,0,0,NA,11779.2,49220.1,12830.9,1051.7,23558.3,0,11779.2,0,0,0
dubia,Bruin,2014,2014287,287,14-Oct-14,196,0,0,1,2,0,0,0,NA,0,0,0.00510204081632653,0.0102040816326531,0,0,0,NA,7852.8,45994.9,6731,0,31411.1,0,7852.8,0,0,0
dubia,Bruin,2014,2014300,300,27-Oct-14,15,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1121.8,17107.8,1682.7,0,14303.3,0,1121.8,0,0,0
dubia,Bruin,2014,2014315,315,11-Nov-14,12,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,420.7,21454.9,0,0,21034.2,0,420.7,0,0,0
parvula,Bruin,2014,2014287,287,14-Oct-14,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,45994.9,6731,0,31411.1,0,7852.8,0,0,0
pulicaria,Bruin,2014,2014204,204,23-Jul-14,241,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,33234.1,52725.8,7151.6,33234.1,4347.1,0,7993,0,0,0
pulicaria,Bruin,2014,2014216,216,4-Aug-14,258,0,0,2,0,0,0,0,NA,0,0,0.00775193798449612,0,0,0,0,NA,21595.1,86380.5,21034.2,21595.1,24960.6,0,18790.6,0,0,0
pulicaria,Bruin,2014,2014230,230,18-Aug-14,202,0,0,2,0,0,0,0,NA,0,0,0.0099009900990099,0,0,0,0,NA,6731,40175.5,7993,6731,7782.7,0,17668.8,0,0,0
pulicaria,Bruin,2014,2014245,245,2-Sep-14,262,0,0,6,1,0,0,0,NA,0,0,0.0229007633587786,0.00381679389312977,0,0,0,NA,6941.3,54899.4,20823.9,6941.3,4837.9,0,22296.3,0,0,0
pulicaria,Bruin,2014,2014258,258,15-Sep-14,147,0,0,1,0,0,0,0,NA,0,0,0.00680272108843537,0,0,0,0,NA,11218.3,46275.3,9535.5,11218.3,10937.8,560.9,14022.8,0,0,0
pulicaria,Bruin,2014,2014272,272,29-Sep-14,13,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1051.7,49220.1,12830.9,1051.7,23558.3,0,11779.2,0,0,0
pulicaria,Bruin,2014,2014287,287,14-Oct-14,6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,45994.9,6731,0,31411.1,0,7852.8,0,0,0
pulicaria,Bruin,2014,2014300,300,27-Oct-14,11,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,17107.8,1682.7,0,14303.3,0,1121.8,0,0,0
pulicaria,Bruin,2014,2014315,315,11-Nov-14,11,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,21454.9,0,0,21034.2,0,420.7,0,0,0
retrocurva,Bruin,2014,2014204,204,23-Jul-14,186,0,0,2,1,1,0,0,NA,0,0,0.010752688172043,0.00537634408602151,0.00537634408602151,0,0,NA,4347.1,52725.8,7151.6,33234.1,4347.1,0,7993,0,0,0
retrocurva,Bruin,2014,2014216,216,4-Aug-14,208,6,0,2,0,1,0,0,NA,0.0288461538461538,0,0.00961538461538462,0,0.00480769230769231,0,0,NA,24960.6,86380.5,21034.2,21595.1,24960.6,0,18790.6,0,0,0
retrocurva,Bruin,2014,2014230,230,18-Aug-14,114,2,0,0,0,0,0,0,NA,0.0175438596491228,0,0,0,0,0,0,NA,7782.7,40175.5,7993,6731,7782.7,0,17668.8,0,0,0
retrocurva,Bruin,2014,2014245,245,2-Sep-14,68,4,0,1,0,0,0,0,NA,0.0588235294117647,0,0.0147058823529412,0,0,0,0,NA,4837.9,54899.4,20823.9,6941.3,4837.9,0,22296.3,0,0,0
retrocurva,Bruin,2014,2014258,258,15-Sep-14,161,22,0,4,0,1,0,0,NA,0.136645962732919,0,0.0248447204968944,0,0.0062111801242236,0,0,NA,10937.8,46275.3,9535.5,11218.3,10937.8,560.9,14022.8,0,0,0
retrocurva,Bruin,2014,2014272,272,29-Sep-14,201,4,0,1,1,0,0,0,NA,0.0199004975124378,0,0.00497512437810945,0.00497512437810945,0,0,0,NA,23558.3,49220.1,12830.9,1051.7,23558.3,0,11779.2,0,0,0
retrocurva,Bruin,2014,2014287,287,14-Oct-14,238,1,0,1,2,0,0,0,NA,0.00420168067226891,0,0.00420168067226891,0.00840336134453781,0,0,0,NA,31411.1,45994.9,6731,0,31411.1,0,7852.8,0,0,0
retrocurva,Bruin,2014,2014300,300,27-Oct-14,218,1,0,1,0,0,0,0,NA,0.00458715596330275,0,0.00458715596330275,0,0,0,0,NA,14303.3,17107.8,1682.7,0,14303.3,0,1121.8,0,0,0
retrocurva,Bruin,2014,2014315,315,11-Nov-14,483,0,0,3,0,0,0,0,NA,0,0,0.0062111801242236,0,0,0,0,NA,21034.2,21454.9,0,0,21034.2,0,420.7,0,0,0
