Diluter.Species,Diluter.Density,Replicate,Infected(9/30/15),Uninfected(9/30/15),Infected(10/7/15),Uninfected(10/7/15),Total.Infected,Total.Uninfected,Prevalence,Notes
NC.Dentifera,6,E,3,2,1,1,4,1,0.8,
NC.Dentifera,6,F,5,0,0,0,5,0,1,
NC.Dentifera,6,G,5,0,0,0,5,0,1,
NC.Dentifera,6,H,5,0,0,0,5,0,1,
NC.Dentifera,8,A,4,1,0,1,4,1,0.8,
NC.Dentifera,8,B,5,0,0,0,5,0,1,
NC.Dentifera,8,C,5,0,0,0,5,0,1,
NC.Dentifera,8,D,5,0,0,0,5,0,1,
NC.Dentifera,8,E,5,0,0,0,5,0,1,
NC.Dentifera,8,F,5,0,0,0,5,0,1,
NC.Dentifera,8,G,5,0,0,0,5,0,1,
NC.Dentifera,8,H,5,0,0,0,5,0,1,
