PulicariaLine,Parasite,Rep,Code,Date,BodySize_um,BodySize_mm
Clear5,Metschnikowia,E,M8E,5/29/2021,1990.91,1.99091367
Clear5,Metschnikowia,F,M8F,5/29/2021,1974.31,1.97431128
Clear5,Metschnikowia,G,M8G,5/29/2021,1931.49,1.93149459
Mid67,Pasteuria,A,P8A,5/30/2021,1863.71,1.8637119
Mid67,Pasteuria,B,P8B,5/30/2021,1928.87,1.92887316
Mid67,Pasteuria,C,P8C,5/30/2021,1963.33,1.96332624
Mid67,Pasteuria,D,P8D,5/30/2021,1945.48,1.94547555
Mid67,Pasteuria,E,P8E,5/30/2021,1967.70,1.96769529
Mid67,Pasteuria,F,P8F,5/30/2021,1940.73,1.94073201
Mid67,Pasteuria,G,P8G,5/30/2021,1833.63,1.83362787
BA,Pasteuria,A,P8A,5/30/2021,2008.27,2.00826504
BA,Pasteuria,B,P8B,5/30/2021,2014.38,2.01438171
BA,Pasteuria,C,P8C,5/30/2021,1968.44,1.96844427
BA,Pasteuria,D,P8D,5/30/2021,2028.11,2.02811301
BA,Pasteuria,E,P8E,5/30/2021,2006.02,2.0060181
BA,Pasteuria,F,P8F,5/30/2021,2007.39,2.00739123
Pine,Pasteuria,A,P8A,5/30/2021,1788.19,1.78818975
Pine,Pasteuria,B,P8B,5/30/2021,1813.41,1.81340541
Pine,Pasteuria,C,P8C,5/30/2021,1833.50,1.83350304
Pine,Pasteuria,D,P8D,5/30/2021,1742.75,1.74275163
Pine,Pasteuria,E,P8E,5/30/2021,2018.25,2.01825144
Pine,Pasteuria,F,P8F,5/30/2021,1860.72,1.86071598
Pine,Pasteuria,G,P8G,5/30/2021,1768.59,1.76859144
Clover,Pasteuria,A,P8A,5/30/2021,1788.44,1.78843941
Clover,Pasteuria,B,P8B,5/30/2021,2094.52,2.09452257
Clover,Pasteuria,C,P8C,5/30/2021,1861.46,1.86146496
Clover,Pasteuria,D,P8D,5/30/2021,1827.26,1.82726154
Clover,Pasteuria,E,P8E,5/30/2021,1882.44,1.8824364
Clover,Pasteuria,F,P8F,5/30/2021,1787.82,1.78781526
Clover,Pasteuria,G,P8G,5/30/2021,1852.48,1.8524772
W,Pasteuria,A,P8A,5/30/2021,1931.49,1.93149459
W,Pasteuria,B,P8B,5/30/2021,1848.98,1.84898196
W,Pasteuria,C,P8C,5/30/2021,1949.72,1.94971977
W,Pasteuria,D,P8D,5/30/2021,1915.02,1.91501703
W,Pasteuria,E,P8E,5/30/2021,1967.32,1.9673208
W,Pasteuria,F,P8F,5/30/2021,1836.62,1.83662379
W,Pasteuria,G,P8G,5/30/2021,1980.68,1.98067761
Clear5,Pasteuria,A,P8A,5/30/2021,2061.07,2.06106813
Clear5,Pasteuria,B,P8B,5/30/2021,1812.03,1.81203228
Clear5,Pasteuria,C,P8C,5/30/2021,1933.37,1.93336704
Clear5,Pasteuria,D,P8D,5/30/2021,1905.28,1.90528029
Clear5,Pasteuria,E,P8E,5/30/2021,1902.41,1.9024092
Clear5,Pasteuria,F,P8F,5/30/2021,1901.29,1.90128573
Clear5,Pasteuria,G,P8G,5/30/2021,2039.47,2.03947254
